"#","#"
"List of all instantiated blocks, few of them might not be rendered.","Lista de todos os blocos instanciados, alguns deles podem não estar renderizados."
"List of all rendered blocks.","Lista de todos os blocos renderizados"
"model","model"
"MODELS","MODELS"
" models, "," models, "
"Display Debug Toolbar if set to Yes and client's ip is whitelisted in System / Configuration / Developer / Developer Client Restrictions - Allowed IPS.","Mostra a Barra de Debug se for definido como Sim e os IPs de clientes estiverem liberados em Sistema / Avançado / Desenvolvedor / Limitar Acesso - IPs com permissão."
"Module","Módulo"
"Módulo","Módulo"
"Magento modules","Módulos do Magento"
"Namespace","Namespace"
" in file "," no arquivo "
"Action Name","Nome da Ação"
"Route Name","Nome da Rota"
"Invalid module name supplied. ","Nome do módulo fornecido inválido. "
"Package Name","Nome do Pacote"
"Resource Name","Nome do Recurso"
"name in layout","nome no layout"
"Não existem palavras para serem traduzidas.","Não existem palavras para serem traduzidas."
"Não foi passado nenhuma linguagem.","Não foi passado nenhuma linguagem."
"Unable to load supplied module. ","Não foi possível carregar o módulo fornecido. "
"Couldn't save ","Não foi possível salvar "
"Magento's caches were cleared.","O cache do Magento foi limpo."
"Hide","Ocultar"
"Hide Toolbar","Ocultar Barra"
"Operation aborted: couldn't create backup for config file","Operação Abortada: não foi possível criar o backup do arquivo de configuração"
"Debug Toolbar Options","Opções da Barra de Debug"
"SQL profiler status changed in local.xml","O Status do SQL profiler foi alterado em local.xml"
"or","ou"
"Visible Panels","Painéis Visíveis"
" for module "," para o módulo "
"Params:","Parâmetros:"
"Performance","Performance"
"Grouped Class Search","Pesquisa de Classes Agrupadas"
"Search Config","Pesquisar Configuração"
"Search configurations","Pesquisar configurações"
"Search examples:","Pesquisar exemplos:"
"Search Grouped Class Name","Pesquisar Nome de Classe Agrupada"
"Search Results","Pesquisar Resultados"
"Please fill in a search query","Por favor, preencha o termo da pesquisa"
"rendering in","renderizado em"
"Selecione...","Selecione..."
"Selecione um Local","Selecione um Local"
"Selecione um Namespace","Selecione um Namespace"
"SELECT","SELECT"
"No COOKIE data","Sem dados no COOKIE"
"No GET data","Sem dados no GET"
"No POST data","Sem dados no POST"
"No SESSION data","Sem dados no SESSION"
"If you don't know what to search check all the","Se você não sabe o que procurar então olhe todos"
"s MEM: ","s MEM: "
"About","Sobre"
"SQL","SQL"
"SQL Profiler is not enabled.","SQL Profiler não esta habilitado."
"Status","Status"
"Active status switched to ","Status de ativo mudado para  "
"Template Theme","Tema do Template"
"template","template"
"Template hints set to ","Template hints definido para "
"Time","Tempo"
"TIME: ","TEMPO: "
"Search query cannot be empty.","Termo da pesquisa não pode ser vazio."
"Type","Tipo"
"Group Type","Tipo do Grupo"
"all","todos"
"Translate","Tradução"
"Translate inline set to ","Tradução inline definida para "
"Value","Valor"
"GET Variables","Variáveis do GET"
"COOKIES Variables","Variáveis dos COOKIES"
"Variable","Variável"
"SESSION Variables","Variáves da SESSION"
"POST Variables","Variáves do POST"
"Version","Versão"
"Times Instantiated","Vezes Instanciado"
"View content of logs file","Visualizar conteúdo dos arquivo de logs"
"View logs","Visualizar logs"
"View Page Layout","Visualizar o Layout da Página"
"Back","Voltar"
"Design Area","Área de Design"
